PCA,min_samples,eps,clusters,noise_rate,ARI,NMI
10,2,0.08000000000000002,44,0.5369565217391304,0.018381958921490332,0.42214207006992743
10,2,0.09000000000000001,44,0.48695652173913045,0.023123544103561947,0.43230485705104016
25,2,0.21000000000000005,41,0.5347826086956522,0.01691814378957306,0.38787978347894814
15,2,0.14,41,0.5304347826086957,0.019703002384314452,0.4156874352591162
10,2,0.11000000000000001,38,0.3630434782608696,0.049225998868158684,0.4666333647343495
30,2,0.23000000000000004,38,0.5543478260869565,0.016307050835708155,0.37295448007108706
15,2,0.13000000000000003,38,0.5978260869565217,0.012258523556576176,0.3623669124207979
10,2,0.1,37,0.41304347826086957,0.03871219191661345,0.45142005543939423
10,2,0.07,36,0.6369565217391304,0.009999009913028677,0.35058415938651727
25,2,0.20000000000000004,36,0.5978260869565217,0.014448774538854466,0.37809614343373044
15,2,0.15000000000000002,35,0.4934782608695652,0.024862369028591725,0.4088542206933023
25,2,0.24000000000000005,34,0.3826086956521739,0.030943904841089057,0.39188677078981105
25,2,0.22000000000000006,34,0.48695652173913045,0.021423618955618052,0.39022482830941396
20,2,0.18000000000000002,33,0.558695652173913,0.01798263627296182,0.3799035471412796
20,2,0.17000000000000004,33,0.6043478260869565,0.013453218960685642,0.3570170939049292
30,2,0.25000000000000006,33,0.4782608695652174,0.024862897756541685,0.3951192384927159
20,2,0.16000000000000003,32,0.6369565217391304,0.011840548641045362,0.3414138117455594
30,2,0.21000000000000005,32,0.6478260869565218,0.011184754736137597,0.3360228246545625
10,2,0.12000000000000002,32,0.29782608695652174,0.06121923522551067,0.46619725290254366
30,2,0.22000000000000006,32,0.6195652173913043,0.014125324575737865,0.3505465245813422
10,2,0.060000000000000005,32,0.6956521739130435,0.00737215420554486,0.30962274665647876
15,2,0.12000000000000002,31,0.6543478260869565,0.010415283868854135,0.318762655466914
25,2,0.19000000000000003,31,0.6543478260869565,0.011484391383041751,0.3340888402409829
30,2,0.24000000000000005,31,0.5239130434782608,0.019766446732738866,0.3696630498910148
20,2,0.19000000000000003,31,0.5021739130434782,0.024936983782241316,0.4118315487125249
15,2,0.11000000000000001,30,0.6847826086956522,0.008460883986733706,0.29448239765515055
20,2,0.15000000000000002,29,0.6847826086956522,0.009052762569190098,0.3011260340182896
20,2,0.20000000000000004,29,0.44782608695652176,0.035738949683049595,0.4263628822576282
30,2,0.20000000000000004,29,0.6847826086956522,0.008610372752133173,0.29904669706718606
20,2,0.21000000000000005,28,0.391304347826087,0.03167626393364679,0.3757626851793783
20,2,0.14,28,0.717391304347826,0.007414437144511498,0.2841380731619857
25,2,0.25000000000000006,28,0.3630434782608696,0.035578144853875476,0.3762285944348602
25,2,0.18000000000000002,28,0.6869565217391305,0.008865164004786036,0.2993003836664894
25,2,0.23000000000000004,27,0.45217391304347826,0.02468410618571152,0.35680819599364466
30,2,0.19000000000000003,26,0.7195652173913043,0.0069390506413386,0.2794640533126113
15,2,0.16000000000000003,26,0.46304347826086956,0.028042847299074983,0.3695119215560201
20,2,0.22000000000000006,25,0.34782608695652173,0.03451584940959378,0.36356068142247855
15,2,0.17000000000000004,25,0.40869565217391307,0.034786553158912444,0.38870766757101616
15,2,0.1,25,0.7282608695652174,0.006133162296673254,0.25144018056746914
20,2,0.13000000000000003,24,0.7521739130434782,0.0057184700946308785,0.24598752130593143
25,2,0.17000000000000004,23,0.7282608695652174,0.0061406687263887,0.25459629651579774
10,2,0.13000000000000003,23,0.25869565217391305,0.06875367202234199,0.45070810034834125
25,2,0.16000000000000003,22,0.7543478260869565,0.0049421635615943494,0.23784484734837777
10,2,0.05,22,0.7869565217391304,0.0033885481703802706,0.2266177221258164
30,2,0.18000000000000002,22,0.7608695652173914,0.005260803816745117,0.23399924148044624
25,2,0.15000000000000002,21,0.7782608695652173,0.004004837670096971,0.21617156070428312
20,2,0.23000000000000004,21,0.3065217391304348,0.03772827666528516,0.34903996059990233
15,2,0.09000000000000001,20,0.7760869565217391,0.004878576539374549,0.2218745843216883
15,2,0.19000000000000003,20,0.29347826086956524,0.03898765195300344,0.3537955186681069
15,2,0.18000000000000002,20,0.3456521739130435,0.03681022186651873,0.343096063082371
